species,season,colony,date_pair_count,total_number_pairs_with_eggs,total_number_of_pairs_without_eggs,total_number_of_pairs,date_chick_count,total_number_of_chicks,total_number_of_eggs,total_number_of_nests_without_eggs,date_fledgling_count,total_number_of_fledglings,comments
Adelie penguin,A41,1978-1979,29/11/1978,NA,NA,379,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A1,1978-1979,5/12/1978,NA,NA,628,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A2,1978-1979,5/12/1978,NA,NA,386,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A3,1978-1979,5/12/1978,NA,NA,238,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A4,1978-1979,5/12/1978,NA,NA,242,NA,NA,NA,NA,NA,NA,Only total number pairs counted
Adelie penguin,A1,1979-1980,16/11/1979,NA,NA,780,24/12/1979,999,57,NA,2/2/1980,376,NA
Adelie penguin,A2,1979-1980,16/11/1979,NA,NA,496,24/12/1979,606,52,NA,2/2/1980,234,NA
Adelie penguin,A3,1979-1980,16/11/1979,NA,NA,248,24/12/1979,319,34,NA,2/2/1980,135,NA
Adelie penguin,A4,1979-1980,16/11/1979,NA,NA,264,24/12/1979,284,6,NA,2/2/1980,142,NA
Adelie penguin,A41,1979-1980,17/11/1979,NA,NA,481,20/12/1979,622,37,NA,2/2/1980,242,NA
Adelie penguin,A1,1980-1981,11/11/1980,662,62,724,19/12/1980,1089,60,NA,28/1/1981,495,2 counts 547 + 443
Adelie penguin,A2,1980-1981,11/11/1980,352,20,372,26/12/1980,671,54,NA,28/1/1981,355,2 counts 400 + 310
Adelie penguin,A3,1980-1981,11/11/1980,291,48,339,19/12/1980,414,49,NA,28/1/1981,266,2 counts 275 + 157
Adelie penguin,A4,1980-1981,11/11/1980,271,20,291,19/12/1980,415,27,NA,28/1/1981,180,2 counts 158 + 202; no data on nests with no eggs
Adelie penguin,A1,1981-1982,22/11/1981,782,25,807,22/12/1981,1057,61,NA,28/1/1982,922,NA
Adelie penguin,A2,1981-1982,22/11/1981,514,12,526,22/12/1981,657,51,NA,28/1/1982,547,NA
Adelie penguin,A3,1981-1982,22/11/1981,291,24,315,22/12/1981,380,39,NA,28/1/1982,181,NA
Adelie penguin,A4,1981-1982,22/11/1981,235,8,243,22/12/1981,270,32,NA,28/1/1982,266,NA
Adelie penguin,A1,1982-1983,19/11/1982,NA,NA,854,27/12/1982,1041,NA,NA,24/1/1983,605,Only total number of pairs + chick and fledgling count made
Adelie penguin,A2,1982-1983,19/11/1982,NA,NA,619,27/12/1982,747,NA,NA,28/1/1982,456,Only total no of pairs + chick and fledgling count made
Adelie penguin,A3,1982-1983,19/11/1982,NA,NA,321,27/12/1982,347,NA,NA,28/1/1982,243,Only total no of pairs + chick and fledgling count made
Adelie penguin,A4,1982-1983,19/11/1982,NA,NA,277,27/12/1982,280,NA,NA,28/1/1982,219,Only total no of pairs + chick and fledgling count made
Adelie penguin,A41,1982-1983,19/11/1982,NA,NA,460,27/12/1982,381,NA,NA,28/1/1982,390,Only total no of pairs + chick and fledgling count made
Adelie penguin,A1,1983-1984,23/11/1983,NA,NA,825,30/12/1983,900,17,NA,31/1/1984,628,Only total number of pairs for pair count
Adelie penguin,A2,1983-1984,23/11/1983,NA,NA,578,30/12/1983,572,9,NA,31/1/1984,401,Only total number of pairs for pair count
Adelie penguin,A3,1983-1984,23/11/1983,NA,NA,314,30/12/1983,332,11,NA,31/1/1984,276,Only total number of pairs for pair count
Adelie penguin,A4,1983-1984,23/11/1983,NA,NA,268,30/12/1983,287,15,NA,31/1/1984,240,Only total number of pairs for pair count
Adelie penguin,A41,1983-1984,30/11/1983,NA,NA,349,31/12/1983,320,1,NA,23/1/1984,262,Only total number of pairs for pair count
Adelie penguin,A1,1984-1985,11/11/1984,791,38,829,20/12/1984,1132,66,NA,20/1/1985,1007,NA
Adelie penguin,A2,1984-1985,11/11/1984,586,39,625,20/12/1984,776,46,NA,20/1/1985,633,NA
Adelie penguin,A3,1984-1985,11/11/1984,307,14,321,20/12/1984,343,55,NA,20/1/1985,317,NA
Adelie penguin,A4,1984-1985,11/11/1984,256,23,279,20/12/1984,309,28,NA,20/1/1985,280,NA
Adelie penguin,A41,1984-1985,14/11/1984,371,39,410,21/12/1984,405,25,NA,18/1/1985,389,NA
Adelie penguin,A1,1985-1986,9/11/1985,896,90,986,24/12/1985,1203,30,NA,23/1/1986,1225,NA
Adelie penguin,A2,1985-1986,9/11/1985,672,76,748,24/12/1985,791,0,NA,23/1/1986,667,NA
Adelie penguin,A3,1985-1986,9/11/1985,334,3,337,24/12/1985,540,0,NA,23/1/1986,310,NA
Adelie penguin,A4,1985-1986,9/11/1985,266,28,294,24/12/1985,382,0,NA,23/1/1986,430,NA
Adelie penguin,A41,1985-1986,13/11/1985,405,17,422,23/12/1985,500,32,NA,21/1/1986,429,NA
Adelie penguin,A1,1986-1987,7/11/1986,1015,182,1197,14/12/1986,1486,210,NA,26/1/1987,1026,NA
Adelie penguin,A2,1986-1987,7/11/1986,688,75,763,14/12/1986,983,157,NA,26/1/1987,535,NA
Adelie penguin,A3,1986-1987,7/11/1986,348,52,400,14/12/1986,526,112,NA,26/1/1987,282,NA
Adelie penguin,A4,1986-1987,7/11/1986,287,48,335,14/12/1986,422,63,NA,26/1/1987,247,NA
Adelie penguin,A62,1986-1987,7/11/1986,NA,NA,27,14/12/1986,33,7,NA,26/1/1987,29,Only total number of pairs
Adelie penguin,A63,1986-1987,7/11/1986,NA,NA,13,14/12/1986,19,5,NA,26/1/1987,NA,Only total number pairs counted;fledglings not counted
Adelie penguin,A64,1986-1987,7/11/1986,NA,NA,27,14/12/1986,31,10,NA,26/1/1987,22,Only total number pairs counted
Adelie penguin,A41,1986-1987,17/11/1986,337,23,360,16/12/1986,402,62,NA,1/2/1987,182,No data on nests with no eggs
Adelie penguin,A1,1987-1988,8/11/1987,NA,NA,959,16/12/1987,913,213,NA,26/1/1988,758,Only total number pairs counted; fledgling count for A1+A60
Adelie penguin,A2,1987-1988,8/11/1987,NA,NA,877,16/12/1987,973,160,NA,26/1/1988,763,Only total number pairs counted
Adelie penguin,A3,1987-1988,8/11/1987,NA,NA,408,16/12/1987,407,130,NA,26/1/1988,290,Only total number pairs counted; fledgling count for A3+A63
Adelie penguin,A4,1987-1988,8/11/1987,NA,NA,319,16/12/1987,343,78,NA,26/1/1988,340,Only total number pairs counted
Adelie penguin,A60,1987-1988,8/11/1987,NA,NA,67,16/12/1987,1,23,NA,NA,NA,Only total number pairs counted;for fledgling count see colony A1
Adelie penguin,A62,1987-1988,8/11/1987,NA,NA,34,16/12/1987,37,7,NA,22/1/1988,32,Only total number pairs counted
Adelie penguin,A63,1987-1988,8/11/1987,NA,NA,17,16/12/1987,23,1,NA,NA,NA,Only total number pairs counted; for fledgling count see colony A3
Adelie penguin,A64,1987-1988,8/11/1987,NA,NA,33,16/12/1987,39,8,NA,22/1/1988,40,Only total number pairs counted
Adelie penguin,A41,1987-1988,9/11/1987,NA,NA,349,17/12/1987,335,74,NA,22/1/1988,281,Only total number pairs counted
Adelie penguin,A41,1988-1989,5/11/1988,371,49,420,16/12/1988,499,48,NA,26/1/1989,281,NA
Adelie penguin,A1,1988-1989,6/11/1988,970,78,1048,17/12/1988,1454,151,NA,28/1/1989,892,NA
Adelie penguin,A2,1988-1989,6/11/1988,849,83,932,17/12/1988,973,138,NA,28/1/1989,540,Fledgling count for A2+A62
Adelie penguin,A3,1988-1989,6/11/1988,376,82,458,17/12/1988,248,77,NA,28/1/1989,147,Fledgling count for A3+A63
Adelie penguin,A4,1988-1989,6/11/1988,304,46,350,17/12/1988,246,59,NA,28/1/1989,175,Fledgling count for A4+A64
Adelie penguin,A60,1988-1989,6/11/1988,50,18,68,17/12/1988,0,0,NA,28/1/1989,0,NA
Adelie penguin,A62,1988-1989,6/11/1988,38,9,47,17/12/1988,59,7,NA,NA,NA,For fledgling count see A2
Adelie penguin,A63,1988-1989,6/11/1988,15,6,21,17/12/1988,24,3,NA,NA,NA,For fledgling count see A3
Adelie penguin,A64,1988-1989,6/11/1988,36,15,51,17/12/1988,35,9,NA,NA,NA,For fledgling count see A4
Adelie penguin,A1,1989-1990,6/11/1989,783,148,931,14/12/1989,1191,175,NA,26/1/1990,653,NA
Adelie penguin,A2,1989-1990,6/11/1989,651,134,785,14/12/1989,900,192,NA,26/1/1990,526,NA
Adelie penguin,A3,1989-1990,6/11/1989,251,64,315,14/12/1989,396,117,NA,26/1/1990,207,NA
Adelie penguin,A4,1989-1990,6/11/1989,209,50,259,14/12/1989,286,81,NA,26/1/1990,172,NA
Adelie penguin,A41,1989-1990,6/11/1989,352,59,411,14/12/1989,427,68,NA,26/1/1990,230,NA
Adelie penguin,A60,1989-1990,6/11/1989,69,46,115,14/12/1989,105,28,NA,26/1/1990,118,NA
Adelie penguin,A62,1989-1990,6/11/1989,27,12,39,14/12/1989,47,12,NA,26/1/1990,24,NA
Adelie penguin,A63,1989-1990,6/11/1989,14,6,20,14/12/1989,16,11,NA,26/1/1990,14,NA
Adelie penguin,A64,1989-1990,6/11/1989,17,12,29,14/12/1989,21,9,NA,26/1/1990,12,NA
Adelie penguin,A63,1990-1991,4/11/1990,0,10,10,14/12/1990,6,11,NA,27/1/1991,7,NA
Adelie penguin,A64,1990-1991,4/11/1990,1,34,35,14/12/1990,10,29,NA,27/1/1991,25,NA
Adelie penguin,A62,1990-1991,4/11/1990,1,31,32,14/12/1990,25,22,NA,27/1/1991,27,NA
Adelie penguin,A1,1990-1991,4/11/1990,202,372,574,14/12/1990,530,299,NA,27/1/1991,628,NA
Adelie penguin,A2,1990-1991,4/11/1990,192,409,601,14/12/1990,427,240,NA,27/1/1991,395,NA
Adelie penguin,A3,1990-1991,4/11/1990,73,177,250,14/12/1990,196,106,NA,27/1/1991,192,NA
Adelie penguin,A4,1990-1991,4/11/1990,43,130,173,14/12/1990,126,96,NA,27/1/1991,142,NA
Adelie penguin,A41,1990-1991,4/11/1990,170,118,288,15/12/1990,120,49,NA,29/1/1991,83,NA
Adelie penguin,A60,1990-1991,4/11/1990,5,44,49,14/12/1990,37,64,NA,27/1/1991,50,NA
Adelie penguin,A41,1991-1992,4/11/1991,169,139,308,14/12/1991,264,66,NA,29/1/1992,224,NA
Adelie penguin,A1,1991-1992,5/11/1991,244,637,881,15/12/1991,1031,354,NA,31/1/1992,933,Fledgling count for A1+A60
Adelie penguin,A2,1991-1992,5/11/1991,46,553,599,15/12/1991,417,446,NA,31/1/1992,372,Fledgling count for A2+A63
Adelie penguin,A3,1991-1992,5/11/1991,15,281,296,15/12/1991,156,261,NA,31/1/1992,257,NA
Adelie penguin,A4,1991-1992,5/11/1991,22,176,198,15/12/1991,183,158,NA,31/1/1992,207,NA
Adelie penguin,A60,1991-1992,5/11/1991,15,94,109,15/12/1991,107,56,NA,NA,NA,For fledgling count see A1
Adelie penguin,A62,1991-1992,5/11/1991,3,48,51,15/12/1991,43,19,NA,29/1/1992,26,NA
Adelie penguin,A63,1991-1992,5/11/1991,0,17,17,15/12/1991,9,12,NA,NA,NA,For fledgling count see A2
Adelie penguin,A64,1991-1992,5/11/1991,1,36,37,15/12/1991,17,42,NA,31/1/1992,82,NA
Adelie penguin,A41,1992-1993,4/11/1992,269,73,342,14/12/1992,264,66,NA,24/1/1993,275,NA
Adelie penguin,A1,1992-1993,5/11/1992,803,80,883,13/12/1992,1383,179,NA,24/1/1993,1410,Fledgling count for A1+A60
Adelie penguin,A2,1992-1993,5/11/1992,465,66,531,13/12/1992,955,141,NA,24/1/1993,696,NA
Adelie penguin,A3,1992-1993,5/11/1992,258,44,302,13/12/1992,443,75,NA,24/1/1993,353,NA
Adelie penguin,A4,1992-1993,5/11/1992,225,33,258,13/12/1992,322,57,NA,24/1/1993,239,NA
Adelie penguin,A60,1992-1993,5/11/1992,104,20,124,13/12/1992,173,50,NA,NA,NA,See fledgling count for A1
Adelie penguin,A62,1992-1993,5/11/1992,29,13,42,13/12/1992,55,14,NA,24/1/1993,149,NA
Adelie penguin,A63,1992-1993,5/11/1992,14,4,18,13/12/1992,27,4,NA,24/1/1993,10,NA
Adelie penguin,A64,1992-1993,5/11/1992,39,7,46,13/12/1992,72,13,NA,24/1/1993,133,NA
Adelie penguin,A41,1993-1994,3/11/1993,231,79,310,10/12/1993,222,76,NA,27/1/1994,59,NA
Adelie penguin,A1,1993-1994,4/11/1993,691,235,926,12/12/1993,1106,199,NA,30/1/1994,626,Fledgling count for A1+A60+A63
Adelie penguin,A2,1993-1994,4/11/1993,353,315,668,12/12/1993,466,380,NA,30/1/1994,292,NA
Adelie penguin,A3,1993-1994,4/11/1993,78,249,327,12/12/1993,68,273,NA,30/1/1994,140,NA
Adelie penguin,A4,1993-1994,4/11/1993,81,162,243,12/12/1993,81,147,NA,30/1/1994,76,NA
Adelie penguin,A60,1993-1994,4/11/1993,70,66,136,12/12/1993,118,72,NA,NA,NA,See fledgling count for A1
Adelie penguin,A62,1993-1994,4/11/1993,10,31,41,12/12/1993,21,25,NA,30/1/1994,12,NA
Adelie penguin,A63,1993-1994,4/11/1993,1,17,18,12/12/1993,7,16,NA,NA,NA,See fledgling count for A1
Adelie penguin,A64,1993-1994,4/11/1993,0,56,56,12/12/1993,2,52,NA,30/1/1994,9,NA
Adelie penguin,A1,1994-1995,8/11/1994,371,365,736,12/12/1994,349,826,NA,21/1/1995,868,Fledgling count for A1+A60
Adelie penguin,A2,1994-1995,8/11/1994,203,345,548,12/12/1994,121,676,NA,21/1/1995,506,NA
Adelie penguin,A3,1994-1995,8/11/1994,53,164,217,12/12/1994,10,283,NA,21/1/1995,175,NA
Adelie penguin,A4,1994-1995,8/11/1994,72,62,134,12/12/1994,44,237,NA,21/1/1995,156,NA
Adelie penguin,A60,1994-1995,8/11/1994,26,70,96,12/12/1994,16,162,NA,NA,NA, See fledgling count for A1
Adelie penguin,A62,1994-1995,8/11/1994,9,19,28,12/12/1994,10,39,NA,21/1/1995,19,NA
Adelie penguin,A63,1994-1995,8/11/1994,2,10,12,12/12/1994,0,24,NA,21/1/1995,11,NA
Adelie penguin,A64,1994-1995,8/11/1994,4,22,26,12/12/1994,2,49,NA,21/1/1995,26,NA
Adelie penguin,A41,1994-1995,9/11/1994,196,81,277,16/12/1994,188,53,NA,16/1/1995,NA,No fledgling count data
Adelie penguin,A1,1995-1996,7/11/1995,NA,NA,890,10/12/1995,1039,146,NA,23/1/1996,865,NA
Adelie penguin,A2,1995-1996,7/11/1995,NA,NA,584,10/12/1995,602,108,NA,23/1/1996,510,NA
Adelie penguin,A3,1995-1996,7/11/1995,NA,NA,251,10/12/1995,257,51,NA,23/1/1996,247,NA
Adelie penguin,A4,1995-1996,7/11/1995,NA,NA,199,10/12/1995,193,36,NA,23/1/1996,208,NA
Adelie penguin,A41,1995-1996,7/11/1995,NA,NA,292,12/12/1995,163,19,NA,23/1/1996,152,NA
Adelie penguin,A60,1995-1996,7/11/1995,NA,NA,111,10/12/1995,107,60,NA,23/1/1996,135,NA
Adelie penguin,A62,1995-1996,7/11/1995,NA,NA,29,10/12/1995,33,7,NA,23/1/1996,35,NA
Adelie penguin,A63,1995-1996,7/11/1995,NA,NA,14,10/12/1995,10,5,NA,23/1/1996,7,NA
Adelie penguin,A64,1995-1996,7/11/1995,NA,NA,47,10/12/1995,54,NA,NA,23/1/1996,48,NA
Adelie penguin,A1,1996-1997,9/11/1996,914,46,960,13/12/1996,1257,85,NA,21/1/1997,900,Fledgling count for A1+A60+A63
Adelie penguin,A2,1996-1997,9/11/1996,601,24,625,13/12/1996,680,52,NA,21/1/1997,520,NA
Adelie penguin,A3,1996-1997,9/11/1996,266,19,285,13/12/1996,343,29,NA,21/1/1997,232,NA
Adelie penguin,A4,1996-1997,9/11/1996,246,16,262,13/12/1996,312,24,NA,21/1/1997,272,Fledgling count for A4+A64
Adelie penguin,A60,1996-1997,9/11/1996,145,7,152,13/12/1996,189,20,NA,NA,NA,See fledgling count for A1
Adelie penguin,A62,1996-1997,9/11/1996,39,2,41,13/12/1996,45,6,NA,21/1/1997,39,NA
Adelie penguin,A63,1996-1997,9/11/1996,14,3,17,13/12/1996,16,2,NA,NA,NA,See fledgling count for A1
Adelie penguin,A64,1996-1997,9/11/1996,53,5,58,13/12/1996,79,7,NA,NA,NA,See fledgling count for A4
Adelie penguin,A41,1996-1997,14/11/1996,231,45,276,15/12/1996,175,5,NA,20/1/1997,162,NA
Adelie penguin,A1,1997-1998,NA,NA,NA,NA,NA,NA,NA,NA,19/1/1998,1209,Sea ice prevented base opening until January
Adelie penguin,A2,1997-1998,NA,NA,NA,NA,NA,NA,NA,NA,19/1/1998,288,Sea ice prevented base opening until January
Adelie penguin,A3,1997-1998,NA,NA,NA,NA,NA,NA,NA,NA,19/1/1998,234,Sea ice prevented base opening until January
Adelie penguin,A4,1997-1998,NA,NA,NA,NA,NA,NA,NA,NA,19/1/1998,224,Sea ice prevented base opening until January
Adelie penguin,A41,1997-1998,NA,NA,NA,NA,NA,NA,NA,NA,18/1/1998,116,Sea ice prevented base opening until January
Adelie penguin,A60,1997-1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sea ice prevented base opening until January, no pair/egg/chick counts. For fledgling count see A1
Adelie penguin,1997-1998,A62,NA,NA,NA,NA,NA,NA,NA,NA,1998-01-19,45,Sea ice prevented base opening until January, no pair/egg/chick counts
Adelie penguin,1997-1998,A63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sea ice prevented base opening until January"
Adelie penguin,A64,1997-1998,NA,NA,NA,NA,NA,NA,NA,NA,19/1/1998,60,Sea ice prevented base opening until January
Adelie penguin,A1 + A60,1998-1999,13/11/1998,1132,61,1193,15/12/1998,1641,184,NA,15/1/1999,1202,NA
Adelie penguin,A2,1998-1999,13/11/1998,566,49,615,15/12/1998,783,107,NA,15/1/1999,666,NA
Adelie penguin,A3,1998-1999,13/11/1998,246,24,270,15/12/1998,343,61,NA,15/1/1999,278,NA
Adelie penguin,A4,1998-1999,13/11/1998,221,17,238,15/12/1998,289,42,NA,15/1/1999,271,NA
Adelie penguin,A62,1998-1999,13/11/1998,33,7,40,15/12/1998,39,2,NA,15/1/1999,36,NA
Adelie penguin,A63,1998-1999,13/11/1998,11,2,13,15/12/1998,10,9,NA,15/1/1999,8,NA
Adelie penguin,A64,1998-1999,13/11/1998,59,6,65,15/12/1998,83,6,NA,15/1/1999,73,NA
Adelie penguin,A41,1998-1999,14/11/1998,232,22,254,15/12/1998,192,5,NA,16/1/1999,176,NA
Adelie penguin,A1 + A60,1999-2000,11/11/1999,401,178,579,19/12/1999,376,78,NA,11/1/2000,233,NA
Adelie penguin,A2,1999-2000,11/11/1999,220,94,314,19/12/1999,238,58,NA,11/1/2000,143,NA
Adelie penguin,A3,1999-2000,11/11/1999,84,21,105,19/12/1999,83,29,NA,11/1/2000,60,NA
Adelie penguin,A4,1999-2000,11/11/1999,99,14,113,19/12/1999,74,12,NA,11/1/2000,45,NA
Adelie penguin,A41,1999-2000,11/11/1999,85,56,141,19/12/1999,14,4,NA,11/1/2000,7,NA
Adelie penguin,A62,1999-2000,11/11/1999,14,8,22,19/12/1999,17,7,NA,11/1/2000,13,NA
Adelie penguin,A63,1999-2000,11/11/1999,2,6,8,19/12/1999,4,0,NA,11/1/2000,0,NA
Adelie penguin,A64,1999-2000,11/11/1999,25,6,31,19/12/1999,28,4,NA,11/1/2000,18,NA
Adelie penguin,A1 + A60,2000-2001,13/11/2000,823,113,936,16/12/2000,1031,228,NA,15/1/2001,911,NA
Adelie penguin,A2,2000-2001,13/11/2000,403,44,447,16/12/2000,474,139,NA,15/1/2001,444,NA
Adelie penguin,A3,2000-2001,13/11/2000,165,16,181,16/12/2000,195,59,NA,15/1/2001,159,NA
Adelie penguin,A4,2000-2001,13/11/2000,150,18,168,16/12/2000,185,34,NA,15/1/2001,147,NA
Adelie penguin,A41,2000-2001,13/11/2000,90,26,116,16/12/2000,60,6,NA,15/1/2001,36,NA
Adelie penguin,A62,2000-2001,13/11/2000,27,3,30,16/12/2000,34,10,NA,15/1/2001,2,NA
Adelie penguin,A63,2000-2001,13/11/2000,6,5,11,16/12/2000,7,2,NA,15/1/2001,53,NA
Adelie penguin,A64,2000-2001,13/11/2000,46,4,50,16/12/2000,185,34,NA,15/1/2001,52,NA
Adelie penguin,A1 + A60,2001-2002,15/11/2001,788,25,813,17/12/2001,1255,63,38,15/1/2002,1030,NA
Adelie penguin,A2,2001-2002,15/11/2001,470,14,484,17/12/2001,545,22,14,15/1/2002,516,NA
Adelie penguin,A3,2001-2002,15/11/2001,200,5,205,17/12/2001,229,15,10,15/1/2002,223,NA
Adelie penguin,A4,2001-2002,15/11/2001,182,3,185,17/12/2001,225,7,13,15/1/2002,186,NA
Adelie penguin,A41,2001-2002,15/11/2001,95,10,105,17/12/2001,40,2,10,15/1/2002,39,NA
Adelie penguin,A62,2001-2002,15/11/2001,31,1,32,17/12/2001,37,4,0,15/1/2002,30,NA
Adelie penguin,A63,2001-2002,15/11/2001,6,0,6,17/12/2001,8,0,0,15/1/2002,4,NA
Adelie penguin,A64,2001-2002,15/11/2001,57,1,58,17/12/2001,65,3,3,15/1/2002,55,NA
Adelie penguin,A1 + A60,2002-2003,14/11/2002,1066,53,1119,19/12/2002,1392,113,107,21/1/2003,1409,NA
Adelie penguin,A2,2002-2003,14/11/2002,585,41,626,19/12/2002,622,37,61,21/1/2003,552,NA
Adelie penguin,A3,2002-2003,14/11/2002,207,10,217,19/12/2002,240,27,21,21/1/2003,235,NA
Adelie penguin,A4,2002-2003,14/11/2002,174,7,181,19/12/2002,200,17,20,21/1/2003,210,NA
Adelie penguin,A41,2002-2003,14/11/2002,65,37,102,19/12/2002,39,1,2,21/1/2003,35,NA
Adelie penguin,A62,2002-2003,14/11/2002,27,3,30,19/12/2002,43,2,5,21/1/2003,36,NA
Adelie penguin,A63,2002-2003,14/11/2002,8,0,8,19/12/2002,7,2,2,21/1/2003,4,NA
Adelie penguin,A64,2002-2003,14/11/2002,51,3,54,19/12/2002,74,9,8,21/1/2003,52,NA
Adelie penguin,A1 + A60,2003-2004,15/11/2003,608,144,753,21/12/2003,825,56,223,14/1/2004,745,NA
Adelie penguin,A2,2003-2004,15/11/2003,308,59,367,21/12/2003,362,14,132,14/1/2004,296,NA
Adelie penguin,A3,2003-2004,15/11/2003,128,18,146,21/12/2003,154,10,53,14/1/2004,125,NA
Adelie penguin,A4,2003-2004,15/11/2003,114,13,127,21/12/2003,146,6,38,14/1/2004,121,NA
Adelie penguin,A62,2003-2004,15/11/2003,22,2,24,21/12/2003,30,2,6,14/1/2004,24,NA
Adelie penguin,A63,2003-2004,15/11/2003,5,0,5,21/12/2003,2,0,4,14/1/2004,1,NA
Adelie penguin,A64,2003-2004,15/11/2003,36,10,46,21/12/2003,44,4,13,14/1/2004,42,NA
Adelie penguin,A41,2003-2004,16/11/2003,52,13,65,21/12/2003,32,4,33,15/1/2004,22,NA
Adelie penguin,A1 + A60,2004-2005,12/11/2004,746,64,810,21/12/2004,1015,48,129,14/1/2005,968,NA
Adelie penguin,A2,2004-2005,12/11/2004,316,25,341,21/12/2004,387,23,36,14/1/2005,338,NA
Adelie penguin,A3,2004-2005,12/11/2004,148,14,162,21/12/2004,159,13,22,14/1/2005,154,NA
Adelie penguin,A4,2004-2005,12/11/2004,118,8,126,21/12/2004,113,1,20,14/1/2005,105,NA
