species,season,colony,date_pair_count,total_number_pairs_with_eggs,total_number_of_pairs_without_eggs,total_number_of_pairs,date_chick_count,total_number_of_chicks,total_number_of_eggs,total_number_of_nests_without_eggs,date_fledgling_count,total_number_of_fledglings,comments
Adelie penguin,A62,2004-2005,12/11/2004,19,5,24,21/12/2004,8,2,6,14/1/2005,7,NA
Adelie penguin,A63,2004-2005,12/11/2004,5,1,6,21/12/2004,3,0,1,14/1/2005,1,NA
Adelie penguin,A64,2004-2005,12/11/2004,36,1,37,21/12/2004,37,0,5,14/1/2005,34,NA
Adelie penguin,A41,2004-2005,13/11/2004,46,8,54,21/12/2004,15,0,34,14/1/2005,18,NA
Adelie penguin,A1 + A60,2005-2006,15/11/2005,764,86,850,23/12/2005,839,32,145,25/1/2006,838,NA
Adelie penguin,A2,2005-2006,15/11/2005,318,62,380,23/12/2005,344,26,97,25/1/2006,289,NA
Adelie penguin,A3,2005-2006,15/11/2005,142,14,156,23/12/2005,86,4,24,25/1/2006,92,NA
Adelie penguin,A4,2005-2006,15/11/2005,98,9,107,23/12/2005,108,2,22,25/1/2006,88,NA
Adelie penguin,A41,2005-2006,15/11/2005,43,8,51,23/12/2005,7,0,28,25/1/2006,4,NA
Adelie penguin,A62,2005-2006,15/11/2005,14,5,19,23/12/2005,0,0,0,25/1/2006,0,NA
Adelie penguin,A63,2005-2006,15/11/2005,3,0,3,23/12/2005,1,1,2,25/1/2006,0,NA
Adelie penguin,A64,2005-2006,15/11/2005,30,5,35,23/12/2005,38,2,0,25/1/2006,30,NA
Adelie penguin,A1 + A60,2006-2007,20/11/2006,885,25,910,22/12/2006,603,7,40,18/1/2007,1229,NA
Adelie penguin,A2,2006-2007,20/11/2006,384,28,412,22/12/2006,519,14,78,18/1/2007,430,NA
Adelie penguin,A3,2006-2007,20/11/2006,175,4,179,22/12/2006,254,5,30,18/1/2007,204,NA
Adelie penguin,A4,2006-2007,20/11/2006,113,9,122,22/12/2006,136,3,39,18/1/2007,135,NA
Adelie penguin,A41,2006-2007,20/11/2006,17,7,24,22/12/2006,NA,NA,NA,18/1/2007,14,NA
Adelie penguin,A62,2006-2007,20/11/2006,0,1,1,22/12/2006,0,0,0,18/1/2007,0,NA
Adelie penguin,A63,2006-2007,20/11/2006,4,0,4,22/12/2006,2,2,1,18/1/2007,1,NA
Adelie penguin,A64,2006-2007,20/11/2006,36,2,38,22/12/2006,37,1,14,18/1/2007,32,NA
Adelie penguin,A1 + A60,2007-2008,25/11/2007,496,226,722,21/12/2007,432,120,546,20/1/2008,417,Comments for nest count and chick count: large number of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nests and eggs. Colonies in low lying areas
Adelie penguin,A2,2007-2008,25/11/2007,167,141,308,21/12/2007,146,60,69,20/1/2008,144,Comments for nest count and chick count: large number of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nests and eggs. Colonies in low lying areas
Adelie penguin,A3,2007-2008,25/11/2007,9,123,132,21/12/2007,6,5,170,20/1/2008,6,Comments for nest count and chick count: large number of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nests and eggs. Colonies in low lying areas
Adelie penguin,A4,2007-2008,25/11/2007,45,48,93,21/12/2007,38,10,87,20/1/2008,36,Comments for nest count and chick count: large number of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nests and eggs. Colonies in low lying areas
Adelie penguin,A62,2007-2008,25/11/2007,0,0,0,21/12/2007,0,0,0,20/1/2008,0,Comments for nest count and chick count: large number of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nests and eggs. Colonies in low lying areas
Adelie penguin,A63,2007-2008,25/11/2007,0,0,0,21/12/2007,0,0,0,20/1/2008,0,Comments for nest count and chick count: large number of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nests and eggs. Colonies in low lying areas
Adelie penguin,A64,2007-2008,25/11/2007,12,19,31,21/12/2007,8,3,27,20/1/2008,6,Comments for nest count and chick count: large number of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nests and eggs. Colonies in low lying areas
Adelie penguin,A41,2007-2008,26/11/2007,2,11,13,21/12/2007,2,0,11,18/1/2008,2,General comments: Continued decline not due to snow: area clear; Nest and chick count comments: Large numbers of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nest and eggs.  Colonies in low lying areas
Adelie penguin,A41,2008-2009,20/11/2008,5,4,9,9/12/2008,0,0,26,26/1/2009,0,Large numbers of nests abandoned in all colonies due to snow covering them and subsequent meltwater inundating nest and eggs.  Colonies in low lying areas
Adelie penguin,A1 + A60,2008-2009,22/11/2008,850,7,857,6/12/2008,1296,177,28,26/1/2009,127,Logistical constraints prevented fledgling counts from being carried out at the optimum time. Most chicks had fledged and gone to sea by the time these figures were obtained. Mean number of chicks per colony and no. chicks fledged per pair are therefore unreliable for this year.
Adelie penguin,A2,2008-2009,22/11/2008,330,4,334,6/12/2008,481,86,12,26/1/2009,41,Earlier than expected fledging (even earlier at N Point) with most chicks leaving between chronology counts resulted in few chicks remaining.
Adelie penguin,A3,2008-2009,22/11/2008,141,2,143,6/12/2008,194,32,6,26/1/2009,0,Earlier than expected fledging (even earlier at N Point) with most chicks leaving between chronology counts resulted in few chicks remaining.
Adelie penguin,A4,2008-2009,22/11/2008,102,0,102,6/12/2008,127,16,14,26/1/2009,1,Earlier than expected fledging (even earlier at N Point) with most chicks leaving between chronology counts resulted in few chicks remaining.
Adelie penguin,A62,2008-2009,22/11/2008,0,0,0,6/12/2008,0,0,0,26/1/2009,0,Earlier than expected fledging (even earlier at N Point) with most chicks leaving between chronology counts resulted in few chicks remaining.
Adelie penguin,A63,2008-2009,22/11/2008,0,0,0,6/12/2008,0,0,0,26/1/2009,0,Earlier than expected fledging (even earlier at N Point) with most chicks leaving between chronology counts resulted in few chicks remaining.
Adelie penguin,A64,2008-2009,22/11/2008,28,1,29,6/12/2008,46,8,1,26/1/2009,0,Earlier than expected fledging (even earlier at N Point) with most chicks leaving between chronology counts resulted in few chicks remaining.
Adelie penguin,A41,2009-2010,16/11/2009,1,0,1,16/12/2009,0,0,NA,18/1/2010,0,Old chronology colony No Active nests; Fledgling comments: Earlier than expected fledging (even earlier at N Point) with most chicks leaving between chronology counts resulted in few chicks remaining.
Adelie penguin,A1 + A60,2009-2010,17/11/2009,306,197,503,16/12/2009,163,85,NA,15/1/2010,160,"General comments: 128 x """"0 egg"""" nests are failed nests. Includes small colony to the south of A1; Chick count comments: empty nests calc from original pop size owing to old nests under refurbishment by non breeders (where these old nests were prev covered by snow / ice) and new empty nests prob arising due to increased non breeder activity in the colonies (where approx 90% of individuals seen were either failed or non breeding birds and partners). NB unusual to see so many partners attending occupied nests - seen at Gourlay also for at least a week prior to North Point count."
Adelie penguin,A2,2009-2010,17/11/2009,190,47,237,16/12/2009,142,72,NA,15/1/2010,133,"General comments: 30 x """"0 egg"""" nests are failed nests; Chick count comments: empty nests calc from original pop size owing to old nests under refurbishment by non breeders (where these old nests were prev covered by snow / ice) and new empty nests prob arising due to increased non breeder activity in the colonies (where approx 90% of individuals seen were either failed or non breeding birds and partners). NB unusual to see so many partners attending occupied nests - seen at Gourlay also for at least a week prior to North Point count."
Adelie penguin,A3,2009-2010,17/11/2009,46,26,72,16/12/2009,29,17,NA,15/1/2010,22,"General comments: 23 x """"0 egg"""" nests are failed nests; Chick count comments: empty nests calc from original pop size owing to old nests under refurbishment by non breeders (where these old nests were prev covered by snow / ice) and new empty nests prob arising due to increased non breeder activity in the colonies (where approx 90% of individuals seen were either failed or non breeding birds and partners). NB unusual to see so many partners attending occupied nests - seen at Gourlay also for at least a week prior to North Point count."
Adelie penguin,A4,2009-2010,17/11/2009,65,6,71,16/12/2009,57,13,NA,15/1/2010,47,"General comments: 3 x """"0 egg"""" nests are abandoned; Chick count comments: empty nests calc from original pop size owing to old nests under refurbishment by non breeders (where these old nests were prev covered by snow / ice) and new empty nests prob arising due to increased non breeder activity in the colonies (where approx 90% of individuals seen were either failed or non breeding birds and partners). NB unusual to see so many partners attending occupied nests - seen at Gourlay also for at least a week prior to North Point count."
Adelie penguin,A62,2009-2010,17/11/2009,0,0,0,16/12/2009,0,0,NA,15/1/2010,0,General comments: colony is abandoned; Chick count comments: empty nests calc from original pop size owing to old nests under refurbishment by non breeders (where these old nests were prev covered by snow / ice) and new empty nests prob arising due to increased non breeder activity in the colonies (where approx 90% of individuals seen were either failed or non breeding birds and partners). NB unusual to see so many partners attending occupied nests - seen at Gourlay also for at least a week prior to North Point count.
Adelie penguin,A63,2009-2010,17/11/2009,0,0,0,16/12/2009,0,0,NA,15/1/2010,0,General comments: colony is abandoned; Chick count comments: empty nests calc from original pop size owing to old nests under refurbishment by non breeders (where these old nests were prev covered by snow / ice) and new empty nests prob arising due to increased non breeder activity in the colonies (where approx 90% of individuals seen were either failed or non breeding birds and partners). NB unusual to see so many partners attending occupied nests - seen at Gourlay also for at least a week prior to North Point count.
Adelie penguin,A64,2009-2010,17/11/2009,11,6,17,16/12/2009,3,4,NA,15/1/2010,1,"General comments: 4 x ""0 egg"""" nests are abandoned . Nest count originally entered as 17-DEC"
Adelie penguin,A1 + A60,2010-2011,1/12/2010,NA,NA,NA,21/12/2011,1340,46,NA,6/1/2011,1117,No nest counts made as assistant did not arrive on time
Adelie penguin,A2,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,6/1/2011,266,No nest counts made as assistant did not arrive on time
Adelie penguin,A3,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,6/1/2011,122,No nest counts made as assistant did not arrive on time
Adelie penguin,A4,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,6/1/2011,112,No nest counts made as assistant did not arrive on time
Adelie penguin,A41,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,11/1/2011,0,No nest counts made as assistant did not arrive on time; Chick count: no chicks in colony
Adelie penguin,A62,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,6/1/2011,NA,No nest counts made as assistant did not arrive on time; fledglings counted as part of colony A2
Adelie penguin,A63,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,6/1/2011,0,No nest counts made as assistant did not arrive on time; no signs of nests in fledgling count
Adelie penguin,A64,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,6/1/2011,29,No nest counts made as assistant did not arrive on time
Adelie penguin,A1 + A60,2011-2012,24/11/2011,897,39,936,21/12/2011,1340,46,0,16/1/2012,1198,NA
Adelie penguin,A2,2011-2012,24/11/2011,377,14,391,21/12/2011,480,26,NA,16/1/2012,434,NA
Adelie penguin,A3,2011-2012,24/11/2011,169,5,174,21/12/2011,234,22,NA,16/1/2012,214,NA
Adelie penguin,A4,2011-2012,24/11/2011,126,4,130,21/12/2011,138,8,NA,16/1/2012,18,NA
Adelie penguin,A62,2011-2012,24/11/2011,0,0,0,21/12/2011,0,0,0,16/1/2012,0,Colony is extinct: no birds/nests present.
Adelie penguin,A63,2011-2012,24/11/2011,0,0,0,21/12/2011,0,0,0,16/1/2012,0,Colony is extinct: no birds/nests present.
Adelie penguin,A64,2011-2012,24/11/2011,28,0,28,21/12/2011,26,1,0,16/1/2012,140,NA
Adelie penguin,A41,2011-2012,26/11/2011,0,0,0,23/12/2011,0,0,0,16/1/2012,0,Colony is extinct: no birds present. Evidence of 1 failed nest attempt this season.
Adelie penguin,A39,2011-2012,26/11/2011,370,19,389,23/12/2011,505,33,NA,13/1/2012,469,General comments: It was decided to start monitoring this colony to see if using it for chronology affects the number of pairs and  Fledgling comments: This value was taken from the creche size counts and it is the largest value that was counted during the period when the colony was monitored for fledging
Adelie penguin,A1 + A60,2012-2013,3/12/2012,648,27,675,27/12/2012,793,45,NA,17/1/2013,752,Nest count comments: Nests with 1 Chick=9; Nests with 1 Egg+1 Chick=18; Nests with 2 Chicks=16
Adelie penguin,A2,2012-2013,3/12/2012,216,20,236,27/12/2012,220,14,NA,17/1/2013,193,Nest count comments: Nests with 1 Chick=5; Nests with 1 Egg+1 Chick=5; Nests with 2 Chicks=5;
Adelie penguin,A3,2012-2013,3/12/2012,58,8,66,27/12/2012,44,13,NA,17/1/2013,47,Nest count comments: Nests with 1 Chick=0; Nests with 1 Egg+1 Chick=0; Nests with 2 Chicks=0
Adelie penguin,A4,2012-2013,3/12/2012,50,5,55,27/12/2012,35,9,NA,17/1/2013,35,Nest count comments: Nests with 1 Chick=0; Nests with 1 Egg+1 Chick=0; Nests with 2 Chicks=1
Adelie penguin,A64,2012-2013,3/12/2012,8,0,8,27/12/2012,2,0,NA,17/1/2013,0,Nest count comments: Nests with 1 Chick=0; Nests with 1 Egg+1 Chick=0; Nests with 2 Chicks=0
Adelie penguin,A39,2012-2013,4/12/2012,203,42,245,29/12/2012,217,31,NA,17/1/2013,182,Nest count comments: Nests with 1 Chick=2; Nests with 1 Egg+1 Chick=2; Nests with 2 Chicks=2
Adelie penguin,A1 + A60,2013-2014,3/12/2013,870,34,904,23/12/2013,1269,72,NA,16/1/2014,1118,Nest count comments: Nests with 1 chick & 1 egg = 28; Nests with 1 chick = 5; Nests with 2 chicks=16; Chick count comments: 2 chicks and 1 egg = 3 nests
Adelie penguin,A2,2013-2014,3/12/2013,303,5,308,23/12/2013,441,24,NA,16/1/2014,388,Nest count comments: Nests with 1 chick & 1 egg = 15; Nests with 1 chick = 14; Nests with 2 chicks=24
Adelie penguin,A3,2013-2014,3/12/2013,122,4,126,23/12/2013,196,4,NA,16/1/2014,171,Nest count comments: Nests with 1 chick & 1 egg = 8; Nests with 1 chick = 1; Nests with 2 chicks=8
Adelie penguin,A4,2013-2014,3/12/2013,73,5,78,23/12/2013,100,3,NA,16/1/2014,85,Nest count comments: Nests with 1 chick & 1 egg = 10; Nests with 1 chick = 6; Nests with 2 chicks=7
Adelie penguin,A64,2013-2014,3/12/2013,14,0,14,23/12/2013,9,1,NA,16/1/2014,7,NA
Adelie penguin,A39,2013-2014,5/12/2013,286,15,301,24/12/2013,374,26,NA,15/1/2014,304,Nest count comments: Nests with 1 chick; Nests with 1 egg = 22 nests; Nests with 2 chicks = 18 nests; Nests with 1 chick = 23 nests
Adelie penguin,A1 + A60,2014-2015,1/12/2014,870,10,880,22/12/2014,1546,37,NA,12/1/2015,1472,Nest count comments: Nests with 1 egg & 1 chick=70; Nests with 1 chick=17; Nests with 2 chicks=75
Adelie penguin,A2,2014-2015,1/12/2014,357,9,366,22/12/2014,514,14,NA,12/1/2015,491,Nest count comments: Nests with 1 egg & 1 chick=14; Nests with 1 chick=8; Nests with 2 chicks=10
Adelie penguin,A3,2014-2015,1/12/2014,150,9,159,22/12/2014,248,7,NA,12/1/2015,222,Nest count comments: Nests with 1 egg & 1 chick=9; Nests with 1 chick=1; Nests with 2 chicks=3
Adelie penguin,A4,2014-2015,1/12/2014,109,5,114,22/12/2014,178,6,NA,12/1/2015,164,Nest count comments: Nests with 1 egg & 1 chick=; Nests with 2 chicks=6
Adelie penguin,A64,2014-2015,1/12/2014,14,1,15,22/12/2014,12,0,NA,12/1/2015,16,Nest count comments: Nests with 1 egg & 1 chick=1
Adelie penguin,A39,2014-2015,3/12/2014,330,9,339,24/12/2014,445,25,NA,11/1/2015,356,Nest count comments: Nests with 1 egg & 1 chick=12; Nests with 1 chick=4; Nests with 2 chicks=13
Adelie penguin,A1 + A60,2015-2016,23/11/2015,1039,58,1097,23/12/2015,1459,64,NA,15/1/2016,1043,NA
Adelie penguin,A2,2015-2016,23/11/2015,358,69,427,23/12/2015,396,36,NA,15/1/2016,309,NA
Adelie penguin,A3,2015-2016,23/11/2015,118,45,163,23/12/2015,117,21,NA,15/1/2016,82,NA
Adelie penguin,A4,2015-2016,23/11/2015,82,37,119,23/12/2015,51,11,NA,15/1/2016,35,Nest count comments: Colony still very icy
Adelie penguin,A64,2015-2016,23/11/2015,14,5,19,23/12/2015,4,8,NA,15/1/2016,0,NA
Adelie penguin,A39,2015-2016,24/11/2015,347,40,387,24/12/2015,372,33,NA,16/1/2016,223,NA
Adelie penguin,A1 + A60,2016-2017,23/11/2016,447,107,554,27/12/2016,499,17,NA,15/1/2017,492,NA
Adelie penguin,A2,2016-2017,23/11/2016,134,56,190,27/12/2016,104,5,NA,15/1/2017,104,NA
Adelie penguin,A3,2016-2017,23/11/2016,71,15,86,27/12/2016,64,5,NA,15/1/2017,66,Fledgling comments: plus two birds incubating eggs
Adelie penguin,A4,2016-2017,23/11/2016,55,11,66,27/12/2016,46,1,NA,15/1/2017,42,NA
Adelie penguin,A64,2016-2017,23/11/2016,1,0,1,27/12/2016,0,0,NA,15/1/2017,0,NA
Adelie penguin,A39,2016-2017,24/11/2016,100,53,153,26/12/2016,92,6,NA,16/1/2017,82,NA
Adelie penguin,A1 + A60,2017-2018,15/11/2017,731,51,782,19/12/2017,979,49,NA,15/1/2018,938,NA
Adelie penguin,A2,2017-2018,15/11/2017,217,21,238,19/12/2017,216,10,NA,15/1/2018,203,NA
Adelie penguin,A3,2017-2018,15/11/2017,97,12,109,19/12/2017,133,5,NA,15/1/2018,115,NA
Adelie penguin,A4,2017-2018,15/11/2017,79,9,88,19/12/2017,68,2,NA,15/1/2018,62,NA
Adelie penguin,A64,2017-2018,15/11/2017,0,0,0,19/12/2017,0,0,NA,15/1/2018,0,NA
Adelie penguin,A39,2017-2018,16/11/2017,207,37,244,19/12/2017,166,14,NA,14/1/2018,164,NA
Adelie penguin,A39,2018-2019,12/11/2018,239,18,257,18/12/2018,191,7,NA,13/1/2019,194,NA
Adelie penguin,A64,2018-2019,16/11/2018,0,0,0,17/12/2018,0,0,NA,14/1/2019,0,NA
Adelie penguin,A4,2018-2019,16/11/2018,75,7,82,17/12/2018,101,11,NA,14/1/2019,89,NA
Adelie penguin,A3,2018-2019,16/11/2018,117,7,124,17/12/2018,176,11,NA,14/1/2019,164,NA
Adelie penguin,A1 + A60,2018-2019,16/11/2018,811,58,869,17/12/2018,1083,93,NA,14/1/2019,1029,NA
Adelie penguin,A2,2018-2019,16/11/2018,191,41,232,17/12/2018,164,11,NA,14/1/2019,149,NA
Adelie penguin,A1 + A60,2019-2020,27/11/2019,833,12,845,18/12/2019,1197,56,NA,14/1/2020,1101,Chick count comments: One nest has acquired an extra chick from somehwhere! Fledgling count comments: counted from photo
Adelie penguin,A2,2019-2020,27/11/2019,157,15,172,18/12/2019,151,13,NA,14/1/2020,143,NA
Adelie penguin,A3,2019-2020,27/11/2019,119,7,126,18/12/2019,193,15,NA,14/1/2020,178,NA
Adelie penguin,A4,2019-2020,27/11/2019,67,7,74,18/12/2019,96,5,NA,14/1/2020,85,NA
Adelie penguin,A64,2019-2020,27/11/2019,0,0,0,18/12/2019,0,0,NA,14/1/2020,0,Fledgling comments: colony abandoned
Adelie penguin,A39,2019-2020,28/11/2019,194,11,205,20/12/2019,280,13,NA,15/1/2020,254,NA
Adelie penguin,A1 + A60,2020-2021,1/12/2020,NA,NA,NA,NA,NA,NA,NA,16/1/2021,832,No nest or chick counts due to late opening of base; Fledgling count from a photo
Adelie penguin,A2,2020-2021,1/12/2020,NA,NA,NA,NA,NA,NA,NA,16/1/2021,113,No nest or chick counts due to late opening of base
Adelie penguin,A3,2020-2021,1/12/2020,NA,NA,NA,NA,NA,NA,NA,16/1/2021,129,No nest or chick counts due to late opening of base
Adelie penguin,A39,2020-2021,1/12/2020,NA,NA,NA,NA,NA,NA,NA,16/1/2021,130,No nest or chick counts due to late opening of base
Adelie penguin,A4,2020-2021,1/12/2020,NA,NA,NA,NA,NA,NA,NA,16/1/2021,75,No nest or chick counts due to late opening of base
Adelie penguin,A64,2020-2021,1/12/2020,NA,NA,NA,NA,NA,NA,NA,16/1/2021,0,No nest or chick counts due to late opening of base
